unit_id,script,digit_glyph,ambiguous,source,annotA_script,annotB_script
270,digit,western,1,agreed,digit,digit
271,urdu,na,1,agreed,urdu,urdu
272,digit,western,1,agreed,digit,digit
273,digit,western,0,agreed,digit,digit
274,digit,western,0,agreed,digit,digit
275,digit,western,0,agreed,digit,digit
276,digit,western,0,agreed,digit,digit
277,digit,western,0,agreed,digit,digit
278,digit,western,0,adjudicated_human,urdu,digit
279,digit,western,0,agreed,digit,digit
280,urdu,na,0,agreed,urdu,urdu
281,urdu,na,1,adjudicated_human,english,urdu
282,urdu,na,0,agreed,urdu,urdu
283,urdu,na,0,agreed,urdu,urdu
284,urdu,na,0,agreed,urdu,urdu
285,urdu,na,0,agreed,urdu,urdu
286,urdu,na,0,agreed,urdu,urdu
287,urdu,na,0,agreed,urdu,urdu
288,urdu,na,0,agreed,urdu,urdu
289,urdu,na,0,agreed,urdu,urdu
290,urdu,na,0,agreed,urdu,urdu
291,urdu,na,0,agreed,urdu,urdu
292,urdu,na,1,agreed,urdu,urdu
293,urdu,na,0,agreed,urdu,urdu
294,urdu,na,0,agreed,urdu,urdu
295,urdu,na,0,agreed,urdu,urdu
296,urdu,na,0,agreed,urdu,urdu
297,urdu,na,0,agreed,urdu,urdu
298,urdu,na,0,agreed,urdu,urdu
299,urdu,na,0,agreed,urdu,urdu
300,urdu,na,0,agreed,urdu,urdu
301,urdu,na,0,agreed,urdu,urdu
302,urdu,na,0,agreed,urdu,urdu
303,urdu,na,0,agreed,urdu,urdu
304,urdu,na,0,agreed,urdu,urdu
305,urdu,na,1,agreed,urdu,urdu
306,urdu,na,0,agreed,urdu,urdu
307,urdu,na,0,agreed,urdu,urdu
308,urdu,na,0,agreed,urdu,urdu
309,urdu,na,0,agreed,urdu,urdu
310,urdu,na,0,agreed,urdu,urdu
311,urdu,na,1,adjudicated_human,english,urdu
312,urdu,na,0,agreed,urdu,urdu
313,urdu,na,0,agreed,urdu,urdu
314,urdu,na,0,agreed,urdu,urdu
315,english,na,1,blank_resolved,digit,
316,urdu,na,0,agreed,urdu,urdu
317,digit,western,1,agreed,digit,digit
318,urdu,na,1,agreed,urdu,urdu
319,digit,western,0,agreed,digit,digit
320,digit,western,0,agreed,digit,digit
321,digit,western,0,agreed,digit,digit
322,digit,western,0,agreed,digit,digit
323,digit,western,0,agreed,digit,digit
324,digit,western,0,agreed,digit,digit
325,digit,western,0,agreed,digit,digit
326,english,na,0,adjudicated_human,digit,english
327,urdu,na,1,agreed,urdu,urdu
328,urdu,na,1,adjudicated_human,digit,urdu
329,urdu,na,0,agreed,urdu,urdu
330,urdu,na,0,agreed,urdu,urdu
331,urdu,na,0,agreed,urdu,urdu
332,urdu,na,0,agreed,urdu,urdu
333,urdu,na,0,agreed,urdu,urdu
334,urdu,na,0,agreed,urdu,urdu
335,urdu,na,0,agreed,urdu,urdu
336,urdu,na,0,agreed,urdu,urdu
337,urdu,na,0,agreed,urdu,urdu
338,urdu,na,0,agreed,urdu,urdu
339,urdu,na,0,agreed,urdu,urdu
340,urdu,na,0,agreed,urdu,urdu
341,urdu,na,0,agreed,urdu,urdu
342,urdu,na,0,agreed,urdu,urdu
343,urdu,na,0,agreed,urdu,urdu
344,urdu,na,0,agreed,urdu,urdu
345,urdu,na,0,agreed,urdu,urdu
346,urdu,na,0,agreed,urdu,urdu
347,urdu,na,0,agreed,urdu,urdu
348,urdu,na,0,agreed,urdu,urdu
349,urdu,na,0,agreed,urdu,urdu
350,urdu,na,0,agreed,urdu,urdu
351,urdu,na,0,agreed,urdu,urdu
352,urdu,na,0,agreed,urdu,urdu
353,urdu,na,0,agreed,urdu,urdu
354,urdu,na,0,agreed,urdu,urdu
355,urdu,na,0,agreed,urdu,urdu
356,urdu,na,0,agreed,urdu,urdu
357,urdu,na,0,agreed,urdu,urdu
358,urdu,na,1,adjudicated_human,english,urdu
359,urdu,na,0,agreed,urdu,urdu
360,urdu,na,1,agreed,urdu,urdu
361,urdu,na,0,adjudicated_human,digit,urdu
362,urdu,na,0,agreed,urdu,urdu
363,urdu,na,0,agreed,urdu,urdu
364,digit,western,1,agreed,digit,digit
365,urdu,na,1,agreed,urdu,urdu
366,digit,western,0,agreed,digit,digit
367,digit,western,0,agreed,digit,digit
368,digit,western,0,agreed,digit,digit
369,digit,western,0,agreed,digit,digit
370,digit,western,0,agreed,digit,digit
371,digit,western,0,agreed,digit,digit
372,digit,western,0,agreed,digit,digit
373,digit,western,0,agreed,digit,digit
374,digit,western,1,blank_resolved,urdu,
375,urdu,na,1,agreed,urdu,urdu
376,urdu,na,0,agreed,urdu,urdu
377,urdu,na,0,agreed,urdu,urdu
378,urdu,na,0,agreed,urdu,urdu
379,urdu,na,0,agreed,urdu,urdu
380,urdu,na,0,agreed,urdu,urdu
381,urdu,na,0,agreed,urdu,urdu
382,urdu,na,0,agreed,urdu,urdu
383,urdu,na,0,agreed,urdu,urdu
384,urdu,na,1,agreed,urdu,urdu
385,digit,western,0,adjudicated_human,urdu,digit
386,urdu,na,0,agreed,urdu,urdu
387,urdu,na,0,agreed,urdu,urdu
388,urdu,na,0,agreed,urdu,urdu
389,urdu,na,0,agreed,urdu,urdu
390,urdu,na,0,agreed,urdu,urdu
391,urdu,na,0,agreed,urdu,urdu
392,urdu,na,1,agreed,urdu,urdu
393,urdu,na,0,agreed,urdu,urdu
394,urdu,na,0,agreed,urdu,urdu
395,urdu,na,0,agreed,urdu,urdu
396,urdu,na,0,agreed,urdu,urdu
397,urdu,na,0,agreed,urdu,urdu
398,urdu,na,0,agreed,urdu,urdu
399,urdu,na,0,agreed,urdu,urdu
400,urdu,na,0,agreed,urdu,urdu
401,urdu,na,0,agreed,urdu,urdu
402,urdu,na,0,agreed,urdu,urdu
403,urdu,na,0,agreed,urdu,urdu
404,urdu,na,1,adjudicated_human,english,urdu
405,urdu,na,0,agreed,urdu,urdu
406,urdu,na,0,agreed,urdu,urdu
407,urdu,na,0,agreed,urdu,urdu
408,urdu,na,0,agreed,urdu,urdu
409,urdu,na,0,agreed,urdu,urdu
410,digit,western,1,agreed,digit,digit
411,urdu,na,1,agreed,urdu,urdu
412,digit,western,0,agreed,digit,digit
413,digit,western,0,agreed,digit,digit
414,digit,western,0,agreed,digit,digit
415,digit,western,0,agreed,digit,digit
416,digit,western,0,agreed,digit,digit
417,digit,western,0,agreed,digit,digit
418,digit,western,1,agreed,digit,digit
419,digit,western,1,adjudicated_human,urdu,digit
420,english,na,0,agreed,english,english
421,english,na,0,agreed,english,english
422,english,na,0,agreed,english,english
423,english,na,0,agreed,english,english
424,english,na,0,agreed,english,english
425,english,na,0,agreed,english,english
426,english,na,1,adjudicated_human,urdu,english
427,urdu,na,1,agreed,urdu,urdu
428,english,na,0,agreed,english,english
429,urdu,na,1,adjudicated_human,english,urdu
430,urdu,na,1,agreed,urdu,urdu
431,english,na,0,agreed,english,english
432,urdu,na,0,agreed,urdu,urdu
433,english,na,0,adjudicated_human,urdu,english
434,english,na,1,agreed,english,english
435,english,na,0,agreed,english,english
436,english,na,0,agreed,english,english
437,english,na,0,agreed,english,english
438,urdu,na,0,agreed,urdu,urdu
439,english,na,0,agreed,english,english
440,english,na,0,agreed,english,english
441,digit,western,0,agreed,digit,digit
442,english,na,0,agreed,english,english
443,english,na,1,agreed,english,english
444,english,na,1,adjudicated_human,digit,english
445,english,na,0,agreed,english,english
446,english,na,0,agreed,english,english
447,english,na,0,agreed,english,english
448,english,na,0,agreed,english,english
449,english,na,0,agreed,english,english
450,english,na,1,agreed,english,english
451,english,na,0,agreed,english,english
452,urdu,na,1,adjudicated_human,digit,urdu
453,digit,unclear,1,adjudicated_human,urdu,digit
454,english,na,0,agreed,english,english
455,digit,western,0,agreed,digit,digit
456,urdu,na,1,blank_resolved,digit,
457,english,na,0,agreed,english,english
458,urdu,na,0,adjudicated_human,english,urdu
459,english,na,0,agreed,english,english
460,digit,western,0,agreed,digit,digit
461,digit,western,0,agreed,digit,digit
462,digit,western,0,agreed,digit,digit
463,digit,western,0,agreed,digit,digit
464,digit,western,0,agreed,digit,digit
465,digit,western,0,agreed,digit,digit
466,english,na,0,adjudicated_human,digit,english
467,english,na,0,adjudicated_human,digit,english
468,urdu,na,0,adjudicated_human,digit,urdu
469,english,na,1,adjudicated_human,digit,english
470,urdu,na,1,agreed,urdu,urdu
471,urdu,na,1,agreed,urdu,urdu
472,urdu,na,0,agreed,urdu,urdu
473,urdu,na,0,agreed,urdu,urdu
474,urdu,na,0,agreed,urdu,urdu
475,urdu,na,0,agreed,urdu,urdu
476,urdu,na,0,agreed,urdu,urdu
477,urdu,na,0,agreed,urdu,urdu
478,urdu,na,1,agreed,urdu,urdu
479,urdu,na,0,agreed,urdu,urdu
480,urdu,na,0,agreed,urdu,urdu
481,urdu,na,0,agreed,urdu,urdu
482,urdu,na,0,agreed,urdu,urdu
483,urdu,na,0,agreed,urdu,urdu
484,urdu,na,1,adjudicated_human,english,urdu
485,urdu,na,0,agreed,urdu,urdu
486,urdu,na,0,agreed,urdu,urdu
487,urdu,na,0,agreed,urdu,urdu
488,urdu,na,0,agreed,urdu,urdu
489,urdu,na,0,agreed,urdu,urdu
490,urdu,na,0,agreed,urdu,urdu
491,urdu,na,0,agreed,urdu,urdu
492,urdu,na,0,adjudicated_human,digit,urdu
493,urdu,na,0,agreed,urdu,urdu
494,urdu,na,0,agreed,urdu,urdu
495,urdu,na,0,agreed,urdu,urdu
496,urdu,na,0,agreed,urdu,urdu
497,urdu,na,0,agreed,urdu,urdu
498,urdu,na,0,agreed,urdu,urdu
499,urdu,na,0,agreed,urdu,urdu
500,urdu,na,0,agreed,urdu,urdu
501,urdu,na,0,agreed,urdu,urdu
502,english,na,1,adjudicated_human,digit,english
503,urdu,na,1,agreed,urdu,urdu
504,urdu,na,1,agreed,urdu,urdu
505,urdu,na,0,agreed,urdu,urdu
506,urdu,na,0,agreed,urdu,urdu
507,urdu,na,0,agreed,urdu,urdu
508,urdu,na,0,agreed,urdu,urdu
509,urdu,na,0,agreed,urdu,urdu
510,urdu,na,0,agreed,urdu,urdu
511,urdu,na,1,agreed,urdu,urdu
512,urdu,na,0,agreed,urdu,urdu
513,urdu,na,0,agreed,urdu,urdu
514,urdu,na,0,agreed,urdu,urdu
515,urdu,na,0,agreed,urdu,urdu
516,urdu,na,0,agreed,urdu,urdu
517,urdu,na,0,agreed,urdu,urdu
518,urdu,na,0,agreed,urdu,urdu
519,digit,western,1,adjudicated_human,urdu,digit
520,urdu,na,0,agreed,urdu,urdu
521,urdu,na,1,adjudicated_human,digit,urdu
522,urdu,na,0,agreed,urdu,urdu
523,urdu,na,0,agreed,urdu,urdu
524,urdu,na,0,agreed,urdu,urdu
525,urdu,na,0,agreed,urdu,urdu
526,urdu,na,1,adjudicated_human,digit,urdu
527,urdu,na,0,agreed,urdu,urdu
528,english,na,0,agreed,english,english
529,urdu,na,0,agreed,urdu,urdu
530,urdu,na,0,agreed,urdu,urdu
531,urdu,na,0,agreed,urdu,urdu
532,urdu,na,1,agreed,urdu,urdu
533,urdu,na,0,agreed,urdu,urdu
534,urdu,na,0,agreed,urdu,urdu
535,urdu,na,0,agreed,urdu,urdu
536,urdu,na,0,agreed,urdu,urdu
537,urdu,na,0,agreed,urdu,urdu
538,urdu,na,0,agreed,urdu,urdu
539,urdu,na,1,adjudicated_human,english,urdu
540,urdu,na,0,agreed,urdu,urdu
541,urdu,na,0,agreed,urdu,urdu
542,urdu,na,0,agreed,urdu,urdu
543,urdu,na,0,agreed,urdu,urdu
544,urdu,na,1,agreed,urdu,urdu
545,urdu,na,0,agreed,urdu,urdu
546,urdu,na,1,agreed,urdu,urdu
547,urdu,na,1,adjudicated_human,english,urdu
548,digit,western,1,agreed,digit,digit
549,urdu,na,1,agreed,urdu,urdu
550,urdu,na,0,agreed,urdu,urdu
551,urdu,na,0,agreed,urdu,urdu
552,urdu,na,0,agreed,urdu,urdu
553,urdu,na,0,agreed,urdu,urdu
554,urdu,na,0,agreed,urdu,urdu
555,urdu,na,0,agreed,urdu,urdu
556,urdu,na,0,agreed,urdu,urdu
557,urdu,na,0,agreed,urdu,urdu
558,urdu,na,0,agreed,urdu,urdu
559,urdu,na,0,agreed,urdu,urdu
560,urdu,na,0,agreed,urdu,urdu
561,urdu,na,0,agreed,urdu,urdu
562,urdu,na,0,agreed,urdu,urdu
563,urdu,na,0,agreed,urdu,urdu
564,urdu,na,0,agreed,urdu,urdu
565,urdu,na,0,agreed,urdu,urdu
566,urdu,na,0,agreed,urdu,urdu
567,urdu,na,0,agreed,urdu,urdu
568,urdu,na,0,agreed,urdu,urdu
569,urdu,na,1,adjudicated_human,english,urdu
570,urdu,na,0,agreed,urdu,urdu
571,urdu,na,0,agreed,urdu,urdu
572,urdu,na,0,agreed,urdu,urdu
573,urdu,na,0,agreed,urdu,urdu
574,urdu,na,0,agreed,urdu,urdu
575,urdu,na,0,agreed,urdu,urdu
576,urdu,na,0,agreed,urdu,urdu
577,urdu,na,0,agreed,urdu,urdu
578,urdu,na,0,agreed,urdu,urdu
579,urdu,na,1,adjudicated_human,digit,urdu
580,urdu,na,0,adjudicated_human,digit,urdu
581,urdu,na,0,agreed,urdu,urdu
582,urdu,na,0,agreed,urdu,urdu
583,digit,western,0,agreed,digit,digit
584,digit,western,0,agreed,digit,digit
585,digit,western,0,agreed,digit,digit
586,digit,western,0,agreed,digit,digit
587,digit,western,0,agreed,digit,digit
588,digit,western,0,agreed,digit,digit
589,digit,western,0,agreed,digit,digit
590,digit,western,0,agreed,digit,digit
591,digit,western,0,agreed,digit,digit
592,english,na,1,adjudicated_human,digit,english
593,urdu,na,1,agreed,urdu,urdu
594,digit,western,0,agreed,digit,digit
595,digit,western,0,agreed,digit,digit
596,digit,western,0,agreed,digit,digit
597,digit,western,0,agreed,digit,digit
598,digit,western,0,agreed,digit,digit
599,digit,western,0,agreed,digit,digit
600,digit,western,0,agreed,digit,digit
601,digit,western,0,agreed,digit,digit
602,urdu,na,1,agreed,urdu,urdu
603,urdu,na,0,adjudicated_human,digit,urdu
604,urdu,na,0,agreed,urdu,urdu
605,urdu,na,0,agreed,urdu,urdu
606,urdu,na,0,agreed,urdu,urdu
607,urdu,na,0,agreed,urdu,urdu
608,urdu,na,0,agreed,urdu,urdu
609,urdu,na,0,agreed,urdu,urdu
610,urdu,na,1,agreed,urdu,urdu
611,urdu,na,0,agreed,urdu,urdu
612,english,na,0,agreed,english,english
613,urdu,na,1,adjudicated_human,english,urdu
614,urdu,na,0,agreed,urdu,urdu
615,urdu,na,1,agreed,urdu,urdu
616,urdu,na,0,adjudicated_human,english,urdu
617,urdu,na,0,agreed,urdu,urdu
618,urdu,na,0,agreed,urdu,urdu
619,urdu,na,0,agreed,urdu,urdu
620,urdu,na,0,agreed,urdu,urdu
621,urdu,na,0,agreed,urdu,urdu
622,urdu,na,0,agreed,urdu,urdu
623,urdu,na,0,agreed,urdu,urdu
624,urdu,na,0,agreed,urdu,urdu
625,urdu,na,0,agreed,urdu,urdu
626,urdu,na,1,agreed,urdu,urdu
627,urdu,na,0,agreed,urdu,urdu
628,urdu,na,0,agreed,urdu,urdu
629,digit,western,1,agreed,digit,digit
630,urdu,na,0,agreed,urdu,urdu
631,urdu,na,0,agreed,urdu,urdu
632,urdu,na,1,agreed,urdu,urdu
633,urdu,na,0,agreed,urdu,urdu
634,urdu,na,1,agreed,urdu,urdu
635,urdu,na,1,agreed,urdu,urdu
636,urdu,na,1,agreed,urdu,urdu
637,urdu,na,1,adjudicated_human,english,urdu
638,urdu,na,1,agreed,urdu,urdu
